hgnc_id,gene,pubmed_hits,pubmed_query,as_of
HGNC:1390,CACNA1C,602,"(""CACNA1C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1391,CACNA1D,225,"(""CACNA1D""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1392,CACNA1E,59,"(""CACNA1E""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1394,CACNA1G,177,"(""CACNA1G""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1396,CACNA1I,44,"(""CACNA1I""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1399,CACNA2D1,72,"(""CACNA2D1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1400,CACNA2D2,67,"(""CACNA2D2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1424,CAD,44851,"(""CAD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1460,CAMK2A,129,"(""CAMK2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1461,CAMK2B,70,"(""CAMK2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19946,CAMSAP1,19,"(""CAMSAP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18806,CAMTA1,172,"(""CAMTA1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:6743,CAPRIN1,106,"(""CAPRIN1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1490,CAPZA2,26,"(""CAPZA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25695,CARS2,60,"(""CARS2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1497,CASK,283,"(""CASK""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1503,CASP2,111,"(""CASP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:29253,CC2D2A,69,"(""CC2D2A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:24349,CCDC186,6,"(""CCDC186""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28909,CCDC22,42,"(""CCDC22""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25523,CCDC88A,40,"(""CCDC88A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19967,CCDC88C,39,"(""CCDC88C""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21708,CCM2,330,"(""CCM2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1583,CCND2,640,"(""CCND2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1616,CCT3,69,"(""CCT3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1620,CCT6A,60,"(""CCT6A""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1623,CCT8,26,"(""CCT8""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1738,CDC42BPB,29,"(""CDC42BPB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1733,CDK13,113,"(""CDK13""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19338,CDK19,103,"(""CDK19""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1774,CDK5,1514,"(""CDK5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:18672,CDK5RAP2,127,"(""CDK5RAP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1782,CDKL2,22,"(""CDKL2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:11411,CDKL5,512,"(""CDKL5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2550,CELF2,86,"(""CELF2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14015,CELF4,89,"(""CELF4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1850,CELSR1,115,"(""CELSR1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1857,CENPF,335,"(""CENPF""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:21638,CEP85L,19,"(""CEP85L""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14253,CERS1,82,"(""CERS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2205,CERT1,17,"(""CERT1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1915,CHD1,178,"(""CHD1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1917,CHD2,156,"(""CHD2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1918,CHD3,88,"(""CHD3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1919,CHD4,248,"(""CHD4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:16816,CHD5,95,"(""CHD5""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1937,CHKA,84,"(""CHKA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1956,CHRNA2,71,"(""CHRNA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:1958,CHRNA4,265,"(""CHRNA4""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
