gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
SLC2A1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SLC2A1,Sanford CoRDS,,,platform description,recorded under: Classic glucose transporter type 1 deficiency syndrome,https://research.sanfordhealth.org/rare-disease-registry
SLC9A6,Foundation-hosted,CSA Research Foundation registry,,platform description,,
SLC9A6,REDCap,BCH NH,,platform description,,
SLC9A6,Sanford CoRDS,,,platform description,recorded under: Christianson syndrome,https://research.sanfordhealth.org/rare-disease-registry
TCF4,Foundation-hosted,PHRF registry,,platform description,,
TCF4,REDCap,UNC NH,,platform description,,
TCF4,Sanford CoRDS,,,platform description,recorded under: Pitt-Hopkins syndrome,https://research.sanfordhealth.org/rare-disease-registry
TPP1,Foundation-hosted,DEM-CHILD; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
TPP1,REDCap,DEM-CHILD,,platform description,,
TPP1,ClinicalTrials.gov,BioMarin Brineura post-marketing,,platform description,,
TPP1,Sanford CoRDS,,,platform description,recorded under: Classic late infantile neuronal ceroid lipofuscinosis,https://research.sanfordhealth.org/rare-disease-registry
WDR45,RARE-X,NBIA international registry; BPAN-specific cohorts via Dont Forget Me,https://www.bpanwarriors.org/rare-x,registry URL host,,https://globalgenes.org/rare-x/
WDR45,Citizen Health,NBIA international registry,https://www.prweb.com/releases/BPAN_Warriors_Partners_with_Ciitizen_to_launch_a_groundbreaking_Natural_History_Study_to_accelerate_potential_treatments_for_rare_disease_BPAN/prweb17735181.htm,registry URL host,,https://www.citizen.health/
WDR45,Sanford CoRDS,,,platform description,recorded under: Beta-propeller protein-associated neurodegeneration / NBIA,https://research.sanfordhealth.org/rare-disease-registry
ZEB2,Foundation-hosted,"Mowat-Wilson Syndrome Foundation Matrix Portal & Registry (Across Healthcare platform, early adopter, launched Feb 2021)",https://mowat-wilson.org/matrix/,own website,,
ZEB2,Matrix,"Across Healthcare, MWSF was first adopter alongside PMSF",,platform description,,
ZEB2,Sanford CoRDS,,,platform description,recorded under: Mowat-Wilson syndrome,https://research.sanfordhealth.org/rare-disease-registry
ARHGEF9,Academic study,,,platform description,,
ARHGEF9,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ATP6V1A,Foundation-hosted,,https://vatpasealliance.org/patient-registry-1,own website,Academic cohorts (Florence Italy),
ATP6V1A,Academic study,Florence cohort,,platform description,,
ATP6V1A,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CASK,Foundation-hosted,Project CASK registry partnership; international CASK NH cohort,https://www.caskgene.org/registry,own website,,
CASK,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
CASK,REDCap,Penn State Hershey NH,,platform description,,
CASK,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CSNK2B,Citizen Health,CSNK2B registry (Citizen Health,https://www.citizen.health/ai-advocate/csnk2b-foundation,registry URL host,,https://www.citizen.health/
CSNK2B,Academic study,small cohorts,,platform description,,
CSNK2B,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
DEAF1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
DEAF1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
DLG4,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
DLG4,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
FRRS1L,Foundation-hosted,,https://www.frrs1l.org/register,own website,Academic only,
FRRS1L,Academic study,,,platform description,,
FRRS1L,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
GABRA1,COMBINEDBrain,,,platform description,via Cure GABA-A Variants,https://combinedbrain.org/
GABRA1,Sanford CoRDS,,,platform description,recorded under: GABRA 1 gene mutation,https://research.sanfordhealth.org/rare-disease-registry
GABRB3,COMBINEDBrain,,,platform description,via Cure GABA-A Variants,https://combinedbrain.org/
GABRB3,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
GNB1,Foundation-hosted,GNB1 family registry,https://www.gnb1advocacy.org/research/registry,own website,,
GNB1,REDCap,Columbia,,platform description,,
GNB1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
GNB1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
GRIN2D,Foundation-hosted,CureGRIN registry,https://curegrin.org/gri-registry/,own website,,
GRIN2D,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
GRIN2D,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
HNRNPU,Foundation-hosted,Simons Searchlight; HNRNPU family registry,https://hnrnp.org/natural-history-study,own website,,
HNRNPU,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
HNRNPU,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
KCNA2,Foundation-hosted,Tübingen academic cohort,https://www.kcna2epilepsy.org/kcna2-international-registry-natural-history-study/,own website,,
KCNA2,Academic study,"Tübingen, Leipzig cohorts",,platform description,,
KCNA2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
KCNH1,Foundation-hosted,,https://www.curekcnh1.org/research,own website,Academic cohorts,
KCNH1,Academic study,,,platform description,,
KCNH1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
NRXN1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
NRXN1,REDCap,SPARK autism research,,platform description,,
NRXN1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
SMARCA2,Foundation-hosted,NBS Worldwide registry,,platform description,,
SMARCA2,Sanford CoRDS,,,platform description,recorded under: Nicolaides-Baraitser syndrome,https://research.sanfordhealth.org/rare-disease-registry
SMC1A,Foundation-hosted,CdLS Foundation registry,https://smc1a-epilepsy.org/smc1a-patient-registry/,own website,,
SMC1A,Sanford CoRDS,,,platform description,recorded under: Cornelia de Lange syndrome,https://research.sanfordhealth.org/rare-disease-registry
TBC1D24,Foundation-hosted,"TBC1D24 Foundation, small",,platform description,,
TBC1D24,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
TRIO,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
TRIO,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
WAC,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
WAC,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
WWOX,Academic study,"Florey/Melbourne, Aqeilan",,platform description,,
WWOX,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ALG13,Foundation-hosted,Frontiers in CDG (FCDGC) NIH RDCRN registry; CDG CARE,https://cdgcare.org/wp-content/uploads/2021/02/NIH-2021-RDD-CDG-CARE-Poster.pdf,own website,,
ALG13,NIH RDCRN,"FCDGC, Frontiers in CDG",,platform description,,https://www.rarediseasesnetwork.org/
ALG13,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
AP4M1,ClinicalTrials.gov,"Same, BCH AP-4-HSP Registry NCT04712812; NCT04712812, BCH",https://clinicaltrials.gov/study/NCT04712812,registry URL host,,
AP4M1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ATP1A2,REDCap,Leiden,,platform description,,
ATP1A2,Foundation-hosted,"AHC Foundation, partial",,platform description,,
ATP1A2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
BRAT1,Citizen Health,,,platform description,,https://www.citizen.health/
BRAT1,Academic study,,,platform description,,
BRAT1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CACNA1E,Academic study,,,platform description,,
CACNA1E,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CHRNA4,Academic study,Florey/Melbourne cohort,,platform description,,
CHRNA4,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CHRNB2,Academic study,,,platform description,,
CHRNB2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
CLN5,Foundation-hosted,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
CLN5,REDCap,DEM-CHILD,,platform description,,
CLN5,Sanford CoRDS,,,platform description,recorded under: CLN5 disease,https://research.sanfordhealth.org/rare-disease-registry
CLN6,Foundation-hosted,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
CLN6,REDCap,DEM-CHILD,,platform description,,
CLN6,Sanford CoRDS,,,platform description,recorded under: CLN6 disease,https://research.sanfordhealth.org/rare-disease-registry
CLN8,Foundation-hosted,DEM-CHILD database; BDSRA registry,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,own website,,
CLN8,REDCap,DEM-CHILD,,platform description,,
CLN8,Sanford CoRDS,,,platform description,recorded under: CLN8 disease,https://research.sanfordhealth.org/rare-disease-registry
CNTNAP2,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
CNTNAP2,Academic study,autism research overlap,,platform description,,
CNTNAP2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
COL4A1,Foundation-hosted,,https://www.gouldsyndromefoundation.org/medical-research/gould-syndrome-patient-registry-article,own website,Academic cohorts,
