org_name,gene,url,coalition,as_of,org_scope,source_note
Lightning & Love Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Louie's Huwe,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Malan Syndrome Foundation,NFIX,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"MAST Genes Research Foundation (MAST 1-4, L)",MAST1;MAST2;MAST3;MAST4;MASTL,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
MED13 Foundation,MED13,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
MED13L Foundation,MED13L,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
MEF2C Family Foundation,MEF2C,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"NEVUS Outreach, Inc",,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Nonsense Mutation Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
NORSE Institute,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
NR2F1 Foundation,NR2F1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
NRXN1 Network,NRXN1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Ogden Cares (Ogden Syndrome/NAA10-Related Research),NAA10,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
OPHN1 Foundation,OPHN1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Parents of SCAMP5,SCAMP5,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PCDH19 Alliance,PCDH19,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PCH-Familie e.V.  (TSEN54),TSEN54,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Pediatric Epilepsy Surgery Alliance,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Phelan-McDermid Syndrome Foundation (PMSF),SHANK3,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
"PMG Awareness Organization, Inc.",,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PPP3CA Hope Foundation,PPP3CA,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PRISMS (Parents and Researchers Interested in Smith-Magenis Syndrome),RAI1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Project 8p,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Project CASK,CASK,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PURA Syndrome Foundation,PURA,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
PVNH Support & Awareness,FLNA,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Rare Remy Foundation (DHX30),DHX30,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
RASopathies Network,PTPN11;SOS1;RAF1;BRAF;KRAS;NRAS;HRAS;MAP2K1;MAP2K2;SHOC2;CBL;NF1;SPRED1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
ReNU2,RNU2-2P,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
ReNU Syndrome United,RNU2-2P,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Ring 14 International,,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Ring14 USA,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
ring20USA,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Ring20 Research & Support UK CIO,,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Rubinstein-Taybi Syndrome Foundation (CREBBP and EP300),CREBBP;EP300,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SAM's Superheroes Foundation(NORSE & FIRES),,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Scarlett's GABRA1 Village,GABRA1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SBH Foundation (Ring 20),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SCN1A Gain of Function,SCN1A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SCN2A Asia Pacific,SCN2A,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
SCN2A Foundation,SCN2A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SETD1B Research Foundation,SETD1B,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SLC6A1 Connect,SLC6A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Sleep-Related Hypermotor Epilepsy Support (She NFLE ADNFLE),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SMC1A Foundation,SMC1A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SNAP25,SNAP25,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
SSADH Association,ALDH5A1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
STXBP1 Foundation,STXBP1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Syngap Research Fund,SYNGAP1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Tatton Brown Rahman Syndrome (TBRS) Community (DNMT3A gene variations),DNMT3A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
TBC1D24 Foundation,TBC1D24,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
TESS Research Foundation (SLC13A5),SLC13A5,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Baker-Gordon Syndrome Foundation (SYT1)(NEW 2024),SYT1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Bow Foundation (GNAO1),GNAO1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Children's Rare Disorder Fund (CRD),,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Cute Syndrome Foundation,SCN8A,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The DAND Alliance (DEAF1-Associated Neurodevelopmental Disorders (DAND): the Vulto-van Silfhout-de Vries Syndrome (VSVS) and NEDHELS Syndrome),DEAF1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The DDX3X Foundation,DDX3X,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The DESSH Foundation (WAC gene / DeSanto-Shinawi Syndrome),WAC,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The DNM1L Foundation,DNM1L,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Global Foundation for Peroxisomal Disorders,PEX1;PEX6;PEX26,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The KCNC1 Foundation,KCNC1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The LCC Foundation,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The MANDKind Foundation,NEXMIF,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Rory Belle Foundation,DEAF1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Schinzel-Giedion Syndrome Foundation,SETBP1,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The SPATA Foundation,SPATA5,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The Sturge-Weber Foundation (GNAQ),GNAQ,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The TBCK Foundation,TBCK,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
The UGDH Foundation,UGDH,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
THG1L Support Group,THG1L,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Tough Genes,,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Tuberous Sclerosis Complex (TSC) Alliance,TSC1;TSC2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
United Mitochondrial Disease Foundation,POLG,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
US MEF2C Foundation,MEF2C,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
V-ATPase Alliance,ATP6V1A;ATP6V0A1;ATP6V0C;ATP6V1B2;ATP6AP2,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
Warsaw Breakage Syndrome Foundation,DDX11,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
WWOX Foundation,WWOX,,REN,2026-09,international,Listed on the Rare Epilepsy Network member roster
Yellow for Yiannis IRF2BPL-NEDAMSS Foundation,IRF2BPL,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
YWHAG Research Foundation,YWHAG,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
ZTTK SON-Shine Foundation Inc,SON,,REN,2026-09,,Listed on the Rare Epilepsy Network member roster
