# One row per (organisation, gene) from the organisation sources, deduplicated on normalised website host.
# status=candidate throughout: nothing here has been reviewed, and curated/organizations.csv is untouched.
org_name,symbol,hgnc_id,url,country,org_type,registry_platform,coalitions,source_files,status
Beyond Batten Disease Foundation,CLN3,HGNC:2074,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Bluefield Project to Cure FTD,GRN,HGNC:4601,https://bdsra.org,,foundation,NIH RDCRN,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Bridge the Gap - SYNGAP Education and Research Foundation,SYNGAP1,HGNC:11497,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Bridge the Gap – SYNGAP Education and Research Foundation,SYNGAP1,HGNC:11497,https://www.bridgesyngap.org,United States of America,foundation,,,everycure_rdnp.csv;rela_2019.csv,candidate
CACNA1A Foundation,CACNA1A,HGNC:1388,,,,,,sources/ren_members/ren_members.csv,candidate
CACNA1A Foundation,CACNA1A,HGNC:1388,https://www.cacna1a.org/,United States of America,foundation,,,everycure_rdnp.csv;sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CACNA1A Foundation cross-coverage,KCNA1,HGNC:6218,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CACNA1A registry (Citizen Health),CACNA1A,HGNC:1388,https://www.citizen.health/ai-advocate/cacna1a,,,,,citizen_registry.csv,candidate
CACNA1H Alliance,CACNA1H,HGNC:1395,,,,,,sources/ren_members/ren_members.csv,candidate
CAPRIN1 Foundation,CAPRIN1,HGNC:6743,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CASK Foundation,CASK,HGNC:1497,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CASK Gene Foundation,CASK,HGNC:1497,,,,,,sources/ren_members/ren_members.csv,candidate
CASK Warriors Foundation Inc,CASK,HGNC:1497,,,,,,sources/ren_members/ren_members.csv,candidate
CASK registry (Citizen Health),CASK,HGNC:1497,https://www.citizen.health/ai-advocate/project-cask,,,,,citizen_registry.csv,candidate
CDG CARE,ALG13,HGNC:30881,https://cdgcare.com/,,foundation,NIH RDCRN,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CDG CARE,PIGA,HGNC:8957,https://cdgcare.com/,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CDG CARE,PIGN,HGNC:8967,https://cdgcare.com/,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CDG CARE,SLC35A2,HGNC:11022,https://cdgcare.com/,,foundation,NIH RDCRN,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
CDG Care,ALG13,HGNC:30881,,,,,,sources/ren_members/ren_members.csv,candidate
CDG Care,PIGA,HGNC:8957,,,,,,sources/ren_members/ren_members.csv,candidate
CDG Care,PIGN,HGNC:8967,,,,,,sources/ren_members/ren_members.csv,candidate
CDG Care,PMM2,HGNC:9115,,,,,,sources/ren_members/ren_members.csv,candidate
CDG Care,SLC35A2,HGNC:11022,,,,,,sources/ren_members/ren_members.csv,candidate
CFC International,BRAF,HGNC:1097,https://www.cfcsyndrome.org,US,foundation,,REN,rela_2019.csv,candidate
CFC International,KRAS,HGNC:6407,https://www.cfcsyndrome.org,US,foundation,,REN,rela_2019.csv,candidate
CFC International,MAP2K1,HGNC:6840,https://www.cfcsyndrome.org,US,foundation,,REN,rela_2019.csv,candidate
