# Epilepsy and NDD gene list, written by gene_spine.epilepsy_list after the spine
# build. Union of three branches:
#   epilepsy / both : on Genes4Epilepsy ('both' also on an NDD source)
#   ndd_only        : on an NDD or ID source, not on Genes4Epilepsy
#   epilepsy_other  : on an epilepsy panel, or ClinGen or Orphadata naming epilepsy,
#                     seizures or encephalopathy, and in neither branch above
# tier and domain are the spine's own values, carried as description, not selection.
# NDD/ID sources: panelapp_au_id, panelapp_ge_id, sysndd, g2p_dd, sfari.
# Declared but absent: none.
# SFARI: 2026-07-12 release, exported 2026-09-16. Its unscored rows count as presence and lift no tier.
# genes4epilepsy_phenotype is blank for genes that are not on Genes4Epilepsy.
# mondo_ids from sources/mondo/mondo.obo sha256 50c8367f9bd99783, 10,491 ORPHA and 10,176 OMIM xrefs.
# org_count and org_names come from epilepsy_orgs.csv, blank where there is no match.
hgnc_id,symbol,gene_name,list_membership,genes4epilepsy_phenotype,tier,domain,n_sources,sources,orphacodes,omim_id,mondo_ids,org_count,org_names
HGNC:10648,AIMP1,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,280293;88616,603605,MONDO:0009843;MONDO:0019502,0,
HGNC:391,AKT1,AKT serine/threonine kinase 1,both,"DEE, MCD",T1,ndd_with_epilepsy,7,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy;panelapp_ge_id,2495;744,164730,MONDO:0008318;MONDO:0016642,0,
HGNC:393,AKT3,AKT serine/threonine kinase 3,both,MCD,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,83473;99802,611223,MONDO:0019375;MONDO:0020492,0,
HGNC:403,ALDH3A2,aldehyde dehydrogenase 3 family member A2,both,DEE,T1,ndd_with_epilepsy,7,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd,816,609523,MONDO:0010031,0,
HGNC:408,ALDH5A1,aldehyde dehydrogenase 5 family member A1,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,22,610045,MONDO:0010083,1,SSADH Association
HGNC:877,ALDH7A1,aldehyde dehydrogenase 7 family member A1,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,3006,107323,MONDO:0009945,2,International PDE Consortium; PDE Foundation
HGNC:18294,ALG1,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,79327,605907,MONDO:0012052,0,
HGNC:32456,ALG11,"ALG11 alpha-1,2-mannosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,280071,613666,MONDO:0013349,0,
HGNC:19358,ALG12,"ALG12 alpha-1,6-mannosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,79324,607144,MONDO:0011783,0,
HGNC:30881,ALG13,ALG13 UDP-N-acetylglucosaminyltransferase subunit,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,324422;777,300776,MONDO:0010472;MONDO:0019181,1,CDG CARE
HGNC:28287,ALG14,ALG14 UDP-N-acetylglucosaminyltransferase subunit,both,DEE,T1,ndd_with_epilepsy,8,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,353327,612866,MONDO:0018144,0,
HGNC:23159,ALG2,"ALG2 alpha-1,3/1,6-mannosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,353327;79326,607905,MONDO:0011933;MONDO:0018144,0,
HGNC:23056,ALG3,"ALG3 alpha-1,3- mannosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,79321,608750,MONDO:0010998,0,
HGNC:23157,ALG6,"ALG6 alpha-1,3-glucosyltransferase",both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,79320,604566,MONDO:0011291,0,
HGNC:23161,ALG8,"ALG8 alpha-1,3-glucosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,2924;79325,608103,MONDO:0000447;MONDO:0011969,0,
HGNC:15672,ALG9,"ALG9 alpha-1,2-mannosyltransferase",both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,730;79328,606941,MONDO:0004691;MONDO:0012117,0,
HGNC:25189,ALKBH8,"alkB homolog 8, tRNA methyltransferase",both,DEE,T1,ndd_with_epilepsy,8,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,88616,613306,MONDO:0019502,0,
HGNC:438,ALPL,"alkaline phosphatase, biomineralization associated",both,DEE,T1,ndd_with_epilepsy,7,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy;panelapp_ge_id,247623;247638;247651;247667;247676;247685,171760,MONDO:0016605;MONDO:0016607;MONDO:0700424;MONDO:1010154;MONDO:1010168;MONDO:1010169,0,
HGNC:469,AMPD2,adenosine monophosphate deaminase 2,both,DEE,T1,ndd_with_epilepsy,8,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,369920;401805,102771,MONDO:0014305;MONDO:0014351,0,
HGNC:473,AMT,aminomethyltransferase,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,289857;289860;289863,238310,MONDO:0015010;MONDO:0017353;MONDO:0017354,0,
HGNC:493,ANK2,ankyrin 2,both,"Focal, DEE",T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,,106410,,0,
HGNC:494,ANK3,ankyrin 3,both,DEE,T1,ndd_with_epilepsy,7,clingen;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd,356996,600465,MONDO:0014210,0,
HGNC:15492,ANKH,ANKH inorganic pyrophosphate transport regulator,both,Focal,T1,ndd_with_epilepsy,6,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,1416;1522,605145,MONDO:0007319;MONDO:0015465,0,
HGNC:21316,ANKRD11,ankyrin repeat domain 11,both,DEE,T1,ndd_with_epilepsy,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,2332;261250,611192,MONDO:0007846;MONDO:0016838,1,ANKRD11 Foundation
HGNC:23575,ANKRD17,ankyrin repeat domain 17,both,DEE,T1,ndd_with_epilepsy,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sfari;sysndd,717823,615929,,1,"Chopra-Amiel-Gordon Syndrome (CAGS) Foundation, Inc. (ANKRD17)"
HGNC:23837,ANO4,anoctamin 4,both,"GGE, Focal, DEE",T1,ndd_with_epilepsy,6,genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,,610111,,0,
