source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
panelapp_au_epilepsy,TIMM50,HGNC:23656,Green,"3-methylglutaconic aciduria, type IX, MIM#617698","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:23656,id
panelapp_au_epilepsy,TK2,HGNC:11831,Green,"Mitochondrial DNA depletion syndrome 2 (myopathic type), MIM#609560; Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3, MIM# 617069","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11831,id
panelapp_au_epilepsy,TLK2,HGNC:11842,Amber,"Intellectual developmental disorder, autosomal dominant 57	MIM#618050","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:11842,id
panelapp_au_epilepsy,TMEM106B,HGNC:22407,Amber,"Leukodystrophy, hypomyelinating, 16 (MIM #617964)","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:22407,id
panelapp_au_epilepsy,TMEM161B,HGNC:28483,Green,"Neurodevelopmental disorder, MONDO:0700092, TMEM161B-related","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:28483,id
panelapp_au_epilepsy,TMEM163,HGNC:25380,Green,"Hypomyelinating leukodystrophy, MONDO:0019046","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:25380,id
panelapp_au_epilepsy,TMEM167A,HGNC:28330,Green,"Microcephaly, epilepsy, and diabetes syndrome MONDO:0100328, TMEM167A-related","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:28330,id
panelapp_au_epilepsy,TMEM184B,HGNC:1310,Green,"Neurodevelopmental disorder (MONDO:0700092), TMEM184B-related","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:1310,id
panelapp_au_epilepsy,TMEM222,HGNC:25363,Green,"Neurodevelopmental disorder with motor and speech delay and behavioural abnormalities, MIM# 619470; Motor delay; Delayed speech and language development; Intellectual disability; Generalized hypotonia; Broad-based gait; Abnormality of nervous system morphology; Seizures; Microcephaly; Behavioral abnormality","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:25363,id
panelapp_au_epilepsy,TMEM63B,HGNC:17735,Green,"Developmental and epileptic encephalopathy 118, MIM# 621250","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17735,id
