hgnc_id,symbol,gene_name,tier,domain,disputed,disputed_note,n_sources,sources,orphacodes,synonyms,omim_id,ensembl_gene_id,locus_group,ev_clingen,ev_g2p_dd,ev_orphadata_genes,ev_panelapp_au_epilepsy,ev_panelapp_au_id,ev_panelapp_ge_epilepsy,ev_panelapp_ge_id,ev_sfari,ev_sysndd,on_clingen,on_g2p_dd,on_genes4epilepsy,on_orphadata_genes,on_panelapp_au_epilepsy,on_panelapp_au_id,on_panelapp_ge_epilepsy,on_panelapp_ge_id,on_sfari,on_sysndd,pheno_clingen,pheno_g2p_dd,pheno_genes4epilepsy,pheno_panelapp_au_epilepsy,pheno_panelapp_au_id,pheno_panelapp_ge_epilepsy,pheno_panelapp_ge_id,simons_on_list,simons_list_version,simons_page_url,simons_report_url,on_simons_gene_list,el_tier,disorder,el_foundation,el_foundation_url,el_registry,el_registry_url,el_platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,on_epilepsylive_pag,gene_family,opathy,opathy_basis,on_opathy,pubmed_hits,pubmed_query,pubmed_as_of,on_pubmed_gene_counts,registries
HGNC:12011,TPM2,tropomyosin 2,T1,ndd_no_documented_epilepsy,False,,3,clingen;g2p_dd;orphadata_genes,1146;1147;171436;171439;171881;2020,AMCD1;DA1;NEM4,190990,ENSG00000198467,protein-coding gene,Definitive,strong,Assessed,,,,,,,True,True,False,True,False,False,False,False,False,False,TPM2-related myopathy,"TPM2-related arthrogryposis, distal",,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:12012,TPM3,tropomyosin 3,T1,ndd_no_documented_epilepsy,False,,3,clingen;g2p_dd;orphadata_genes,171433;171439;171881;178342;2020;476406,NEM1;TRK,191030,ENSG00000143549,protein-coding gene,Definitive,definitive,Assessed,,,,,,,True,True,False,True,False,False,False,False,False,False,TPM3-related myopathy,TPM3-related congenital myopathy,,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:12015,TPO,thyroid peroxidase,T1,ndd_no_documented_epilepsy,False,,3,orphadata_genes;sfari;sysndd,95716,TPX,606765,ENSG00000115705,protein-coding gene,,,Assessed,,,,,2,Definitive,False,False,False,True,False,False,False,False,True,True,,,,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:2073,TPP1,tripeptidyl peptidase 1,T1,ndd_with_epilepsy,False,,9,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,284324;699751;699761;699769,CLN2;SCAR7;LPIC;TPP-1,607998,ENSG00000166340,protein-coding gene,Definitive,definitive,Assessed,Green,Green,Green,Green,,Definitive,True,True,True,True,True,True,True,True,False,True,neuronal ceroid lipofuscinosis,TPP1-related neuronal ceroid lipofuscinosis,PME,"Ceroid lipofuscinosis, neuronal, 2, MIM# 204500; MONDO:0008769","Ceroid lipofuscinosis, neuronal, 2, OMIM #204500; Spinocerebellar ataxia, autosomal recessive 7, OMIM #609270","Ceroid lipofuscinosis, neuronal, 2 204500","Ceroid lipofuscinosis, neuronal, 2, 204500; NEURONAL CEROID LIPOFUSCINOSIS TYPE 2 (CLN2)",,,,,False,1,Late-Infantile Neuronal Ceroid Lipofuscinosis (Classical CLN2),BDSRA; Beyond Batten; multiple country foundations,https://bdsra.org,DEM-CHILD; BDSRA; BioMarin Brineura post-marketing,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,Academic / REDCap (DEM-CHILD); Foundation-hosted (BDSRA registry); ClinicalTrials.gov NH (BioMarin Brineura post-marketing); Sanford CoRDS,No,Yes ('Classic late infantile neuronal ceroid lipofuscinosis'),"BioMarin Brineura/cerliponase alfa (FDA-approved 2017, first approved enzyme replacement for any NCL); gene therapy preclinical",,,True,,neuronal ceroid lipofuscinosis (lysosomal),editor,True,390,"(""TPP1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,"[{""platform"": ""Foundation-hosted"", ""registry_name"": ""DEM-CHILD; BDSRA registry"", ""registry_url"": ""https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/"", ""platform_url"": """", ""platform_basis"": ""own website"", ""notes"": """"}, {""platform"": ""REDCap"", ""registry_name"": ""DEM-CHILD"", ""registry_url"": """", ""platform_url"": """", ""platform_basis"": ""platform description"", ""notes"": """"}, {""platform"": ""ClinicalTrials.gov"", ""registry_name"": ""BioMarin Brineura post-marketing"", ""registry_url"": """", ""platform_url"": """", ""platform_basis"": ""platform description"", ""notes"": """"}, {""platform"": ""Sanford CoRDS"", ""registry_name"": """", ""registry_url"": """", ""platform_url"": ""https://research.sanfordhealth.org/rare-disease-registry"", ""platform_basis"": ""platform description"", ""notes"": ""recorded under: Classic late infantile neuronal ceroid lipofuscinosis""}]"
HGNC:12016,TPP2,tripeptidyl peptidase 2,T1,ndd_no_documented_epilepsy,False,,6,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,444463,TPPII,190470,ENSG00000134900,protein-coding gene,Definitive,definitive,Assessed,,Green,,Green,,Definitive,True,True,False,True,False,True,False,True,False,True,immunodeficiency 78 with autoimmunity and developmental delay,"TPP2-related immune deficiency, autoimmune disease and intellectual disability",,,"Immunodeficiency 78 with autoimmunity and developmental delay, MIM# 619220",,"Immunodeficiency 78 with autoimmunity and developmental delay, OMIM:619220",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:24259,TPRKB,TP53RK binding protein,T1,ndd_no_documented_epilepsy,False,,3,g2p_dd;orphadata_genes;sysndd,2065,CGI-121;CGI121,608680,ENSG00000144034,protein-coding gene,,limited,Assessed,,,,,,Definitive,False,True,False,True,False,False,False,False,False,True,,TPRKB-related Galloway-Mowat syndrome,,,,,,,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:10781,TRA2B,transformer 2 beta homolog,T1,ndd_with_epilepsy,False,,8,clingen;g2p_dd;genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,,SFRS10;Htra2-beta;PPP1R156,602719,ENSG00000136527,protein-coding gene,Definitive,moderate,,Green,Green,Green,Green,,Definitive,True,True,True,False,True,True,True,True,False,True,syndromic complex neurodevelopmental disorder,TRA2B-related neurodevelopmental syndrome,"DEE, MCD","Ramond-Elliott neurodevelopmental syndrome, MIM# 621421","Ramond-Elliott neurodevelopmental syndrome, MIM# 621421","Ramond-Elliott neurodevelopmental syndrome, OMIM:621421","Ramond-Elliott neurodevelopmental syndrome, OMIM:621421",,,,,False,,,,,,,,,,,,,False,,,,False,45,"(""TRA2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:20456,TRAF7,TNF receptor associated factor 7,T1,ndd_with_epilepsy,False,,10,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd,2495;592570,RFWD1;RNF119;DKFZp586I021;MGC7807,606692,ENSG00000131653,protein-coding gene,Definitive,strong,Assessed,Green,Green,Amber,Green,1,Definitive,True,True,True,True,True,True,True,True,True,True,syndromic complex neurodevelopmental disorder,TRAF7-related developmental delay congenital anomalies and dysmorphic features,DEE,"Cardiac, facial, and digital anomalies with developmental delay, MIM#618164","Cardiac, facial, and digital anomalies with developmental delay; OMIM #618164","Cardiac, facial, and digital anomalies with developmental delay, 618164; Global developmental delay; Abnormal heart morphology; Abnormality of digit; Abnormality of limbs","Cardiac, facial, and digital anomalies with developmental delay, 618164; Global developmental delay; Abnormal heart morphology; Abnormality of digit; Abnormality of limbs",,,,,False,,,,,,,,,,,,,False,,,,False,131,"(""TRAF7""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
HGNC:30764,TRAIP,TRAF interacting protein,T1,ndd_no_documented_epilepsy,False,,5,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd,808,TRIP;RNF206,605958,ENSG00000183763,protein-coding gene,,strong,Assessed,,Green,,Green,,Definitive,False,True,False,True,False,True,False,True,False,True,,TRAIP-related primordial dwarfism,,,"Seckel syndrome 9, MIM#616777",,"Seckel syndrome 9, OMIM:616777",,,,,False,,,,,,,,,,,,,False,,,,False,,,,False,[]
HGNC:29947,TRAK1,trafficking kinesin protein 1,T1,ndd_with_epilepsy,False,,7,genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd,442835,OIP106;KIAA1042;MILT1,608112,ENSG00000182606,protein-coding gene,,,Assessed,Green,Green,Green,Amber,,Definitive,False,False,True,True,True,True,True,True,False,True,,,DEE,"Developmental and epileptic encephalopathy 68, MIM# 618201","Epileptic encephalopathy, early infantile, 68, MIM# 618201","Epileptic encephalopathy, early infantile, 68	618201","Epileptic encephalopathy, early infantile, 68, 618201",,,,,False,,,,,,,,,,,,,False,,,,False,53,"(""TRAK1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07,True,[]
