hgnc_id,symbol,tier,domain,sources
HGNC:28583,RSPO2,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes
HGNC:16175,RSPO4,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:29420,RSPRY1,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:24152,RSRC1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:15888,RTEL1,T1,ndd_with_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:18647,RTN4IP1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:18654,RTTN,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:28991,RUBCN,T1,ndd_with_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10472,RUNX2,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:23625,RUSC2,T1,ndd_with_epilepsy,clingen;genes4epilepsy;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:13530,RXYLT1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10480,RYBP,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;sysndd
HGNC:10483,RYR1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:10484,RYR2,T1,ndd_with_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10519,SACS,T1,ndd_with_epilepsy,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:10524,SALL1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:15924,SALL4,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_id
