hgnc_id,orphacodes
HGNC:2383,1872;65;791
HGNC:2433,313808;556985
HGNC:2435,264675
HGNC:2436,264675
HGNC:2457,528084
HGNC:2460,178469;689397
HGNC:26193,397715;475;564
HGNC:2472,154
HGNC:2482,248;308
HGNC:2494,280;714399
HGNC:26169,1775;313838
HGNC:13723,363611
HGNC:2498,48431
HGNC:2501,212
HGNC:2505,2584;3162;436159;536;900
HGNC:2509,26106;99001
HGNC:2514,1501;210159;2780;33402;404473;54595;569248;689430;873;891;91414;952
HGNC:2515,1997
HGNC:2516,178469;281;86814
HGNC:2518,411629;411634;411641
HGNC:2519,420573
HGNC:16850,528084;654
HGNC:9251,351;575553
HGNC:2529,700487;700492;700497
HGNC:2531,352709
HGNC:2536,763
HGNC:2553,300530;716116
HGNC:2555,85293
HGNC:2557,178469
HGNC:19347,2382
HGNC:10664,166035
HGNC:25613,453521
HGNC:2561,51636
HGNC:2570,621;90796
HGNC:2873,621
HGNC:2579,1460
HGNC:13760,442835
HGNC:2584,211;867
HGNC:2592,403;556030
HGNC:2597,708;98976;98977
HGNC:2605,909
HGNC:2606,289157
HGNC:20582,320411
HGNC:23198,41751
HGNC:2652,100986;79302
HGNC:28358,79315
HGNC:2666,206599;280333;370997;899
HGNC:2678,363412
HGNC:25538,137898
HGNC:2698,268145;268162;268173;268184
HGNC:25784,3464
HGNC:2701,238722;2744;478
HGNC:18141,480556;84081;90636
HGNC:17642,275;39041
HGNC:29812,88616
HGNC:2714,2148;99796
HGNC:2717,716109
HGNC:2718,910
HGNC:2719,35708
HGNC:19714,101008
HGNC:29106,320380
HGNC:2728,300536
HGNC:2731,93358
HGNC:2736,280558
HGNC:2745,3338;457260;99861
HGNC:18674,488647
HGNC:25360,2919
HGNC:2747,528084
HGNC:14677,468620;714385
HGNC:18423,442835;98784;98820
HGNC:2770,154;719921;85146;98909
HGNC:2852,329903;357008
HGNC:2858,279934;329314
HGNC:2859,35107
HGNC:2860,818
HGNC:20603,442835;791
HGNC:2861,319651
HGNC:2867,246
HGNC:23537,329258;79154
HGNC:16716,647788
HGNC:17210,242;251510;983
HGNC:2876,2573;477814;494444
HGNC:17098,276399;284343;404476;99757;99914;99915;99916
HGNC:28648,2849;654
HGNC:19711,220386;280195;280200;93924;93925;93926
HGNC:2890,1775;3322
HGNC:2896,79244
HGNC:2898,2394
HGNC:2902,777
HGNC:2903,528084
HGNC:2908,178469;220386;280195;280200;93924;93925;93926
HGNC:2928,154;206546;777;98895;98896
HGNC:2934,242
HGNC:2938,1934;453533;90635
HGNC:30539,244
HGNC:16725,244
HGNC:32700,244
HGNC:20188,244
HGNC:30492,244
HGNC:21493,244
HGNC:26013,244
HGNC:28570,244
HGNC:2940,244;276234
HGNC:2942,244
HGNC:2946,276234
HGNC:2950,244
HGNC:2953,101063;244
HGNC:2954,244
HGNC:18744,244
HGNC:14889,730
HGNC:5228,314485;443950
HGNC:14888,34516;708126
HGNC:28908,508523
HGNC:30528,66634
HGNC:27030,811
HGNC:16410,104;904
HGNC:16235,228343
HGNC:15469,2828;391411
HGNC:23247,244
HGNC:2959,300345;36412
HGNC:2972,2382;442835
HGNC:2973,330050;98673
HGNC:2974,100044;169189;228179;363409
HGNC:2976,314404;456318
HGNC:2978,276621;404443;658595;86845
HGNC:2979,2268;269
HGNC:23483,658946;658951
HGNC:2988,447737
HGNC:2989,528084
HGNC:19189,974
HGNC:19190,411986
HGNC:19191,178469;217390
HGNC:28662,528084
HGNC:26594,716825;994
HGNC:23406,154;91131
HGNC:2995,353327;86309
HGNC:9964,1465
HGNC:3003,459061
HGNC:3004,459061
HGNC:3005,79322
HGNC:3006,329178
HGNC:19414,171709
HGNC:3012,1675;293948
HGNC:3013,38874
HGNC:20637,528084;7
HGNC:24245,244;276234
HGNC:29937,244
HGNC:4166,244
HGNC:3036,293888;293899;293910
HGNC:21144,2953
HGNC:3049,154;293888;293899;293910
HGNC:3054,166260;166265;99791
HGNC:1090,314381;412181
HGNC:17328,231531
HGNC:21317,178355;239
HGNC:2961,178469;209341;284232
HGNC:2962,474;93269;93270;93271
HGNC:21862,474;93271
HGNC:28296,474;93271
HGNC:3091,268261;464311
HGNC:3097,178400;199329;268;45448
HGNC:26551,731
HGNC:29419,314051
HGNC:19087,658843;96148
HGNC:3133,35173;401973
HGNC:3151,653880
HGNC:3153,530
HGNC:2895,1810;248
HGNC:16787,695783
HGNC:3188,659396
HGNC:3192,442835;528084
HGNC:3208,88616
HGNC:3214,101112
HGNC:3218,75376;98977
HGNC:3219,314718;90349;91387
HGNC:25789,811
HGNC:3226,1520
HGNC:30858,79113
HGNC:3236,251576;251579
HGNC:1232,247511
HGNC:3239,101084;64748;99951
HGNC:24650,261652;96147
HGNC:3250,146
HGNC:9437,256
HGNC:3255,1667
HGNC:19687,199241;275777;31837
HGNC:3257,157713;157716;157719;99853;99854
HGNC:3258,157713;157716;157719;99853;99854
HGNC:3259,157713;157716;157719;99853;99854
HGNC:3260,157713;157716;157719;99853;99854
HGNC:3261,157713;157716;157719;99853;99854
HGNC:3267,85282
HGNC:3284,528084
HGNC:18683,3102
HGNC:3300,528084
HGNC:14198,369913
HGNC:3309,2686;486
HGNC:3319,632;676125
HGNC:3327,3193;90348;904;91387
HGNC:14415,1955;352333;827
HGNC:18248,717795
HGNC:28957,480898
HGNC:27609,528084
HGNC:16912,1270
HGNC:19880,485418
HGNC:3330,99796
HGNC:3349,231160;275777;329971;774
HGNC:3356,289176;324561;51608;758
HGNC:3363,401810
HGNC:28526,974
HGNC:3373,353284
HGNC:29331,1493
HGNC:3395,1053;568065;693912;90186
HGNC:3413,501
HGNC:3432,178469;803
HGNC:3433,1466;90322
HGNC:3434,1466;220295;33364;910
HGNC:3435,220295;33364;910
HGNC:3436,220295;84;90321;910
HGNC:3437,1466;220295;910
HGNC:3438,1466;178338;90321;90322;90324
HGNC:26922,319465;401764
HGNC:3439,178338;90321;90322;90324
HGNC:3444,647681;726700
HGNC:16947,300605;401785
HGNC:1356,209951;247604;280384
HGNC:27230,2319;3103
HGNC:13281,231169;90635;90636
HGNC:3473,90636
HGNC:3481,394529;394532
HGNC:3482,394529;394532
HGNC:3483,394529;394532
HGNC:23287,51188
HGNC:3495,146;168629;2030;2665;314950;585929;98823
HGNC:3497,289;952
HGNC:19747,289;952
HGNC:17085,642085
HGNC:17944,2254
HGNC:17035,2254
HGNC:3512,321;502;55880
HGNC:3513,321;466926;52022
HGNC:3518,508533
HGNC:3519,107;52429;720341
HGNC:3522,217622;90635
HGNC:21555,791
HGNC:3527,3447
HGNC:3528,328
HGNC:3529,329
HGNC:3530,100054;330;617919
HGNC:3531,331
HGNC:3534,331
HGNC:3535,325;329217
HGNC:3542,131;326;329217;391320;599579;600194
HGNC:3544,327
HGNC:3546,169802;169805;169808;177926
HGNC:3551,169793;169796;169799;177929
HGNC:21197,171629;329308
HGNC:3579,882
HGNC:24725,2763;93325
HGNC:29162,2754
HGNC:22140,1832
HGNC:18786,528084
HGNC:29170,401996
HGNC:3582,84
HGNC:3583,3412;84
HGNC:3584,84
HGNC:3585,84
HGNC:3586,84
HGNC:3587,84
HGNC:3588,84
HGNC:25568,84
HGNC:20748,84
HGNC:26222,438178;615938
HGNC:21062,319519;466722
HGNC:3592,178506
HGNC:17800,178506
HGNC:11920,117;3261;3437
HGNC:11936,3261
HGNC:29160,166105
HGNC:23109,2136;314679
HGNC:3604,115
HGNC:3606,348
HGNC:13601,369897
HGNC:13590,528084
HGNC:29046,442835
HGNC:16510,88616
HGNC:13607,528084
HGNC:16712,528084
HGNC:29002,647804
HGNC:3629,730300
HGNC:3642,542585;543470
HGNC:3647,79278
HGNC:15889,2908
HGNC:23151,99844
HGNC:1184,88616
HGNC:3661,101041;248408;93562;98880;98881
HGNC:3662,101041;248408;98880;98881
HGNC:3663,915
HGNC:19125,99954
HGNC:3670,36387
HGNC:3671,675216;98764
HGNC:3681,2791;90024;99806
HGNC:3687,3237
HGNC:3688,168953;2117;220386;2396;251576;251579;251615;2645;280200;314950;3157;3366;432;478;93258;93924;99798
HGNC:3689,1540;1555;168624;207;2363;313855;596008;794;87;93258;93259;93260
HGNC:3690,15;1860;2363;251576;251579;35099;429;53271;794;85164;85165;93262;93274
HGNC:3694,101041;248408;98880;98881
HGNC:3700,24;29072;523
HGNC:3705,500095
HGNC:16873,139515;208441;3472;803
HGNC:17997,34515;370959;370968;370980;588;899
HGNC:3622,154;206554;272;370980;588;899
HGNC:24671,394529;394532
HGNC:27310,122;2903;422526
HGNC:3754,1826;2301;2484;482606;555877;75497;88630;90650;90652;98892;99811
HGNC:3755,1190;1263;3275;503;56305
HGNC:3756,154;171445;293910;63273;75249
HGNC:3767,3303;79452
HGNC:24682,88628
HGNC:20105,221126
HGNC:14074,88616
HGNC:3771,468726
HGNC:3775,261483;642691;908;93256
HGNC:3778,84090;93315
HGNC:29418,693647
HGNC:3791,217382
HGNC:3798,697356
HGNC:3800,250923;708;782;91483;98978
HGNC:3801,33001
HGNC:3806,1226;146;319487;95713
HGNC:3808,708;83461;91387
HGNC:3811,261144;442835;598164
HGNC:3816,244
HGNC:12765,169095;676039;83471
HGNC:13875,209908;251061
HGNC:6106,37042
HGNC:26927,2609
HGNC:19185,2052;93100
HGNC:29007,777
HGNC:1362,88616
HGNC:13753,1872;791
HGNC:3974,51208
HGNC:3999,157846;163;254704;440731
HGNC:24678,210144
HGNC:13254,777
HGNC:4006,349
HGNC:4010,275872;300605;79105;803;99967
HGNC:3951,95
HGNC:4042,891;90050;91495
HGNC:24824,442835
HGNC:4056,79258
HGNC:24861,331176
HGNC:4057,466026
HGNC:4065,308552;420429
HGNC:4070,178469
HGNC:4507,3095;442835
HGNC:4075,307;33069;64280
HGNC:4076,442835
HGNC:4077,79102
HGNC:4079,442835
HGNC:4082,442835
HGNC:4083,2382;64280
HGNC:4084,1606;307;36387
HGNC:4087,1945;33069;36387;442835;64280
HGNC:4092,210141
HGNC:4115,206436;206443;206448
HGNC:4116,308473;308487
HGNC:4118,79237
HGNC:24063,570422
HGNC:4122,309297
HGNC:4125,306661
HGNC:4135,79239
HGNC:4136,382
HGNC:4137,643
HGNC:4138,730
HGNC:4162,139536;99938
HGNC:4170,124;231393;363727;420611;67044;79277;86849;99887
HGNC:4171,228423
HGNC:4172,2237;585936
HGNC:4173,251071;251510;3303;334;576232;99067;99068;99103
HGNC:4174,2140;2255;3303;334;665044;665058;99067;99103
HGNC:30778,363686
HGNC:4175,3337;35704
HGNC:4177,2072;411602;77259;77260;77261;85212
HGNC:18986,320391;352641
HGNC:4180,206583;308621;308638;308655;308670;308684;308698;308712
HGNC:4189,25
HGNC:4193,2102;98808
HGNC:4195,552;79299;99885
HGNC:4208,289857;289860;289863
HGNC:15968,101097;101102;217055;99944;99948
HGNC:4217,275777;774
HGNC:4226,777
HGNC:20043,88616
HGNC:4235,363717;363722
HGNC:4236,330054
HGNC:4238,140957;734
HGNC:13780,137681
HGNC:29682,565624
HGNC:4241,353327
HGNC:4247,436274;91135;98434
HGNC:11960,411602
HGNC:18183,90636
HGNC:4283,101075;1175
HGNC:4284,166286;2202;2698;477;494;90635;90636
HGNC:17494,280282;320401;568051
HGNC:4289,284411;284414
HGNC:4296,324
HGNC:4298,309310;79255;79256;79257
HGNC:4313,289857;289860;289863
HGNC:29514,994
HGNC:4318,220386;280195;280200;420584;93924;93925;93926;95494
HGNC:4319,36;380;672;93322;93334;93335;93338
HGNC:28510,79118
HGNC:4331,557056;557064
HGNC:4335,35878
HGNC:4341,71278
HGNC:24247,941
HGNC:4367,309246
HGNC:22923,869
HGNC:22932,353327;363623;370959;370968;588
HGNC:4389,1934;592564
HGNC:4390,3205;624;675359;723195;723203;79483
HGNC:4392,189427;2762;562;57782;79443;79444;79445;93276;93277;94089
HGNC:4393,714096
HGNC:4394,1871;49382
HGNC:4396,488613
HGNC:4398,166282;528084
HGNC:4401,542306
HGNC:23657,300605;3166;438207;602
HGNC:4416,309796
HGNC:29670,423461;576
HGNC:23026,423470
HGNC:4422,79272
HGNC:25676,2078
HGNC:4431,280620
HGNC:4439,140957;274;52530;853
HGNC:4440,140957;274;567;853
HGNC:14388,98885
HGNC:4444,274
HGNC:4446,529665
HGNC:4451,373;654
HGNC:4452,2662;373
HGNC:15465,308400;3197
HGNC:20145,54
HGNC:23694,95496
HGNC:31371,714079
HGNC:13308,2478
HGNC:29501,314597;90636
HGNC:18062,477673
HGNC:2001,157794
HGNC:2799,423454;90635;98973
HGNC:25839,101023;155878;888;99771;99772
HGNC:4571,178469;88616
HGNC:4573,364028
HGNC:4574,528084
HGNC:4576,363432
HGNC:4580,528084;88616
HGNC:4584,178469;1934;208447;88616
HGNC:4585,163721;1945;289266;725;98818
HGNC:4586,589547;697160
HGNC:4588,442835
HGNC:18708,2052
HGNC:10013,75382
HGNC:4593,324262;404507;631095
HGNC:4598,714079
HGNC:4599,1934;88616
HGNC:4601,100069;100070;275864;314629
HGNC:31673,90636
HGNC:2810,90635
HGNC:4624,289846;289849
HGNC:24959,319192
HGNC:4651,33364
HGNC:21157,33364
HGNC:4659,904
HGNC:14880,444013
HGNC:4678,1871;1872;75377
HGNC:4689,1872;65;75377
HGNC:4696,584
HGNC:4699,263297;456369
HGNC:4706,137625
HGNC:4707,2089
HGNC:4718,642763
HGNC:4764,715950;723358
HGNC:4787,717854
HGNC:4790,717854
HGNC:4793,717854
HGNC:4796,521438
HGNC:9639,2020
HGNC:21033,464282;635
HGNC:4799,71212
HGNC:4801,243367;5;746
HGNC:4803,746
HGNC:15598,648581;79230
HGNC:16915,99749
HGNC:4823,163596;247511;330041;707789;715143;93616;98791
HGNC:4824,163596;247511;330041;707789;715143;715154;93616;98791
