name,group,condition_page_url,latest_report_url
KANSL1,Gene,https://www.simonssearchlight.org/research/what-we-study/kansl1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115427/17q21.31-deletion-KANSL1-25Q3.pdf
KDM6B,Gene,https://www.simonssearchlight.org/research/what-we-study/kdm6b/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115503/KDM6B-25Q3.pdf
KMT2C,Gene,https://www.simonssearchlight.org/research/what-we-study/kmt2c/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115442/KMT2C-25Q3.pdf
KMT2E,Gene,https://www.simonssearchlight.org/research/what-we-study/kmt2e/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115457/KMT2E-25Q3.pdf
MED13,Gene,https://www.simonssearchlight.org/research/what-we-study/med13/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115505/MED13-25Q3.pdf
MED13L,Gene,https://www.simonssearchlight.org/research/what-we-study/med13l/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115424/MED13L-25Q3.pdf
MEF2C,Gene,https://www.simonssearchlight.org/research/what-we-study/mef2c/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115447/MEF2C-25Q3.pdf
MYT1L,Gene,https://www.simonssearchlight.org/research/what-we-study/myt1l/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115449/MYT1L-25Q3.pdf
NAA15,Gene,https://www.simonssearchlight.org/research/what-we-study/naa15/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115443/NAA15-25Q3.pdf
NRXN1,Gene,https://www.simonssearchlight.org/research/what-we-study/nrxn1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115332/2p16.3-deletion-NRXN1-25Q3.pdf
PACS1,Gene,https://www.simonssearchlight.org/research/what-we-study/pacs1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115434/PACS1-25Q3.pdf
POGZ,Gene,https://www.simonssearchlight.org/research/what-we-study/pogz-2/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115436/POGZ-25Q3.pdf
PPP2R1A,Gene,https://www.simonssearchlight.org/research/what-we-study/ppp2r1a/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115437/PPP2R1A-25Q3.pdf
PPP2R5D,Gene,https://www.simonssearchlight.org/research/what-we-study/ppp2r5d/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115410/PPP2R5D-25Q3.pdf
PPP3CA,Gene,https://www.simonssearchlight.org/research/what-we-study/ppp3ca/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115430/PPP3CA-25Q3.pdf
SCN2A,Gene,https://www.simonssearchlight.org/research/what-we-study/scn2a/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115421/SCN2A-25Q3.pdf
SETBP1,Gene,https://www.simonssearchlight.org/research/what-we-study/setbp1/,https://cdn.simonssearchlight.org/wp-content/uploads/2025/10/14115433/SETBP1-25Q3.pdf
