org_name,gene,url,country,org_type,natural_history_study,notes
PURA Syndrome Foundation,PURA,https://www.purasyndrome.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: PURA syndrome; biobank; founded 2016
Rett Syndrome Research Trust,,https://reverserett.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rett Syndrome; founded 2008
Ring 14 USA,,https://ring14usa.com/,United States of America,foundation,yes,EveryCure RDNP list; focus: Chromosome 14 Anomalies; biobank; founded 2011
RUNX1 Research Program - RUNX1-Familial Platelet Disorder,RUNX1,https://www.runx1-fpd.org/,United States of America,foundation,unknown,"EveryCure RDNP list; focus: RUNX1-familial platelet disorder (RUNX1-FPD), Acute Myeloid Leukemia (AML); biobank; founded 2016"
SATB2 Gene Foundation,SATB2,https://satb2gene.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Rare neurodevelopmental disorders; biobank; founded 2017
SETBP1 Society,SETBP1,https://www.setbp1.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: SETBP1 haploinsufficiency disorder; founded 2017
Sisters' Hope Foundation - Adult Onset Leukoencephalopathy with Axonal Spheroids and Pigmented Glia,,https://sistershopefoundation.com/,United States of America,foundation,yes,EveryCure RDNP list; focus: Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia; biobank; founded 2020
SLC6A1 Connect,SLC6A1,https://slc6a1connect.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: SLC6A1 epileptic encephalopathy; founded 2018
SMC1A Foundation - SMC1A Loss-of-function Epilepsy,SMC1A,https://smc1a-epilepsy.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: SMC1A mutation disorders; founded 2019
SPG15 Research Foundation - SPG15,SPG15,https://www.spg15researchfoundation.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Hereditary Spastic Paraplegia Type 15; founded 2018
Stop ALD Foundation,,http://www.stopald.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Adrenoleukodystrophy; founded 2002
STXBP1 Foundation,STXBP1,https://www.stxbp1disorders.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: STXBP1 disorders; biobank; founded 2017
Super Kids: Mission Zero Inc.,,https://www.superkidsmissionzero.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare epilepsy; founded 2017
"Support Organization for Trisomy 18, 13 & Related Diseases",,https://trisomy.org/new-here/,United States of America,foundation,yes,"EveryCure RDNP list; focus: Trisomy ('three bodies') means the affected person has 47 chromosomes instead of 46. Down syndrome, Edward syndrome and Patau syndrome are the most common forms; founded 1980"
SynGap Research Fund - SynGap,SYNGAP1,https://www.syngapresearchfund.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: SYNGAP1-reated syndrome; founded 2018
TANGO2 Research Foundation,TANGO2,https://tango2research.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: TANGO2-related metabolic encephalopathy and arrhythmias; founded 2017
Taylor’s Tale,,https://taylorstale.org,United States of America,foundation,unknown,EveryCure RDNP list; focus: Batten disease; founded 2013
Tess Research Foundation,SLC13A5,https://www.tessresearch.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: SLC13A5 Deficiency (aka Citrate Transporter Disorder); biobank; founded 2015
"The 22q Family Foundation – 22q11.2 deletion, DiGeorge Syndrome, VCFS",,https://22qfamilyfoundation.org,United States of America,foundation,unknown,EveryCure RDNP list; focus: DiGeorge syndrome; founded 2012
The Bow Foundation,GNAO1,https://gnao1.org/,United States of America,foundation,yes,"EveryCure RDNP list; focus: The Bow Foundation supports GNAO1 families by raising awareness, enhancing research, and fostering community.; founded 2017"
The Brain Recovery Project,,https://www.brainrecoveryproject.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Rare pediatric epilepsy; founded 2011
The Calliope Joy Foundation,,https://www.thecalliopejoyfoundation.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Leukodystrophies; founded 2016
The Chromosome 18 Registry & Research Society,,https://www.chromosome18.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Chromosome 18 abnormalities; founded 2015
The TBCK Foundation,TBCK,https://tbckfoundation.com/,United States of America,foundation,unknown,EveryCure RDNP list; focus: TBCK; founded 2018
The Yaya Foundation for 4H Leukodystrophy,POLR3,https://yayafoundation4hl.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: POLR3-Related Leukodystrophy; founded 2017
TUBB3 Foundation,TUBB3,https://tubb3foundation.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: TUBB3 and multiple variations of the disease; founded 2017
Tyler’s Hope for a Dystonia Cure,DYT1,http://www.tylershope.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: DYT1 Dystonia; founded 2015
United Leukodystrophy Foundation,,https://ulf.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Leukodystrophies; biobank; founded 1982
United Mitochondrial Disease Foundation,,https://www.umdf.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: Mitochondrial Disease; biobank; founded 1996
USP7 Families,USP7,https://www.usp7.org/,United States of America,foundation,unknown,EveryCure RDNP list; focus: Hao-Fountain Syndrome; founded 2017
Yellow Brick Road Project,HNRNPH2,https://yellowbrickroadproject.org/,United States of America,foundation,yes,EveryCure RDNP list; focus: HNRNPH2-mutation diseases NOS; founded 2019
