gene,gene_family,opathy,basis
GRIA3,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
GRIA4,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
GRIK2,Ionotropic glutamate receptors (GRIN/GRIA/GRIK),channelopathy (ligand-gated: GRIN/GRIA/GRIK),EpilepsyLive family
HIVEP2,,,
HNRNPH2,hnRNP proteins (HNRNP),hnRNPopathy,EpilepsyLive family
HNRNPK,hnRNP proteins (HNRNP),hnRNPopathy,EpilepsyLive family
HNRNPR,hnRNP proteins (HNRNP),hnRNPopathy,EpilepsyLive family
HRAS,,,
IRF2BPL,,,
JARID2,,,
KANSL1,,,
KAT6A,,,
KCNC1,"Potassium channels, Kv3 (KCNC)",channelopathy (K),EpilepsyLive family
KDM5C,,,
KMT2A,Lysine methyltransferases (KMT2),chromatinopathy (KMT2),EpilepsyLive family
KMT2C,Lysine methyltransferases (KMT2),chromatinopathy (KMT2),EpilepsyLive family
KMT2E,Lysine methyltransferases (KMT2),chromatinopathy (KMT2),EpilepsyLive family
KMT5B,,,
KPTN,,,
LAMA2,,,
MANBA,,,
MAST1,,,
MAST3,,,
MAST4,,,
MBD5,,,
MED12,Mediator complex (MED),Mediator complex disorder,EpilepsyLive family
MYT1L,,,
NAA15,,,
NALCN,,,
NARS1,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
NBEA,,,
NCKAP1,,,
NEXMIF,,,
NF1,,,
NPC1,,,
NR4A2,,,
NUS1,,,
PACS1,,,
PACS2,,,
PAX6,,,
PHF21A,,,
PMM2,,,
POGZ,,,
POLG2,,,
PPP2R1A,PP2A subunits (PPP2),PP2A-related disorder,EpilepsyLive family
PPP2R5C,PP2A subunits (PPP2),PP2A-related disorder,EpilepsyLive family
PPP3CA,,,
RAB18,,,
RAB3GAP1,,,
RAB3GAP2,,,
RARS2,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
RERE,,,
RORB,,,
SETD5,,chromatinopathy,editor
SMARCB1,BAF/SWI-SNF complex (SMARC/ARID),BAFopathy (chromatin),EpilepsyLive family
SMARCC2,BAF/SWI-SNF complex (SMARC/ARID),BAFopathy (chromatin),EpilepsyLive family
SMS,,,
SNAP25,,synaptopathy,editor
SON,,,
STAG1,,,
SURF1,,,
SYT1,,synaptopathy,editor
TANC2,,,
TAOK1,,,
TARS2,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
TBCD,,,
TLK2,,,
TUBB3,Tubulins (TUBA/TUBB/TUBG),tubulinopathy,editor
UGDH,,,
UPF3B,,,
VAMP2,,,
WARS2,Aminoacyl-tRNA synthetases (ARS),ARS-related (tRNA synthetase) disorder,EpilepsyLive family
